timestamp,position,velocity,acceleration,attitude,body_rate,thrust_and_torque,direct_actuator
225965139,1,0,0,0,0,0,0
226065174,1,0,0,0,0,0,0
226165190,1,0,0,0,0,0,0
226265186,1,0,0,0,0,0,0
226365247,1,0,0,0,0,0,0
226465225,1,0,0,0,0,0,0
226565237,1,0,0,0,0,0,0
226665237,1,0,0,0,0,0,0
226765283,1,0,0,0,0,0,0
226865261,1,0,0,0,0,0,0
226965276,1,0,0,0,0,0,0
227065297,1,0,0,0,0,0,0
227165343,1,0,0,0,0,0,0
227265305,1,0,0,0,0,0,0
227365363,1,0,0,0,0,0,0
227465374,1,0,0,0,0,0,0
227565391,1,0,0,0,0,0,0
227665388,1,0,0,0,0,0,0
227765381,1,0,0,0,0,0,0
227865379,1,0,0,0,0,0,0
227965422,1,0,0,0,0,0,0
228065417,1,0,0,0,0,0,0
228165422,1,0,0,0,0,0,0
228265428,1,0,0,0,0,0,0
228365414,1,0,0,0,0,0,0
228465463,1,0,0,0,0,0,0
228565462,1,0,0,0,0,0,0
228665465,1,0,0,0,0,0,0
228765480,1,0,0,0,0,0,0
228865480,1,0,0,0,0,0,0
228965493,1,0,0,0,0,0,0
229065515,1,0,0,0,0,0,0
229165520,1,0,0,0,0,0,0
229265530,1,0,0,0,0,0,0
229365541,1,0,0,0,0,0,0
229465540,1,0,0,0,0,0,0
229565557,1,0,0,0,0,0,0
229665557,1,0,0,0,0,0,0
229765551,1,0,0,0,0,0,0
229865578,1,0,0,0,0,0,0
229965574,1,0,0,0,0,0,0
230065586,1,0,0,0,0,0,0
230165616,1,0,0,0,0,0,0
230265621,1,0,0,0,0,0,0
230365623,1,0,0,0,0,0,0
230465632,1,0,0,0,0,0,0
230565631,1,0,0,0,0,0,0
230665633,1,0,0,0,0,0,0
230765638,1,0,0,0,0,0,0
230865647,1,0,0,0,0,0,0
230965649,1,0,0,0,0,0,0
231065678,1,0,0,0,0,0,0
231165679,1,0,0,0,0,0,0
231265687,1,0,0,0,0,0,0
231365689,1,0,0,0,0,0,0
231465718,1,0,0,0,0,0,0
231565693,1,0,0,0,0,0,0
231665709,1,0,0,0,0,0,0
231765714,1,0,0,0,0,0,0
231865749,1,0,0,0,0,0,0
231965719,1,0,0,0,0,0,0
232065739,1,0,0,0,0,0,0
232165768,1,0,0,0,0,0,0
232265789,1,0,0,0,0,0,0
232365776,1,0,0,0,0,0,0
232465774,1,0,0,0,0,0,0
232565772,1,0,0,0,0,0,0
232665791,1,0,0,0,0,0,0
232765790,1,0,0,0,0,0,0
232865793,1,0,0,0,0,0,0
232965799,1,0,0,0,0,0,0
233065804,1,0,0,0,0,0,0
233165821,1,0,0,0,0,0,0
233265825,1,0,0,0,0,0,0
233365825,1,0,0,0,0,0,0
233466009,1,0,0,0,0,0,0
233565839,1,0,0,0,0,0,0
233665833,1,0,0,0,0,0,0
233765837,1,0,0,0,0,0,0
233865879,1,0,0,0,0,0,0
233965850,1,0,0,0,0,0,0
234065850,1,0,0,0,0,0,0
234165860,1,0,0,0,0,0,0
234265870,1,0,0,0,0,0,0
234365881,1,0,0,0,0,0,0
234765881,1,0,0,0,0,0,0
234865863,1,0,0,0,0,0,0
234965878,1,0,0,0,0,0,0
235065958,1,0,0,0,0,0,0
235165911,1,0,0,0,0,0,0
235265913,1,0,0,0,0,0,0
235365913,1,0,0,0,0,0,0
235465919,1,0,0,0,0,0,0
235565918,1,0,0,0,0,0,0
235665917,1,0,0,0,0,0,0
235765920,1,0,0,0,0,0,0
235865922,1,0,0,0,0,0,0
235965917,1,0,0,0,0,0,0
236065925,1,0,0,0,0,0,0
236165946,1,0,0,0,0,0,0
236265934,1,0,0,0,0,0,0
236365932,1,0,0,0,0,0,0
236465940,1,0,0,0,0,0,0
236565947,1,0,0,0,0,0,0
236665947,1,0,0,0,0,0,0
236765944,1,0,0,0,0,0,0
236865945,1,0,0,0,0,0,0
236965947,1,0,0,0,0,0,0
237065949,1,0,0,0,0,0,0
237165967,1,0,0,0,0,0,0
237265939,1,0,0,0,0,0,0
237365959,1,0,0,0,0,0,0
237465961,1,0,0,0,0,0,0
237765963,1,0,0,0,0,0,0
237865961,1,0,0,0,0,0,0
237965963,1,0,0,0,0,0,0
238065963,1,0,0,0,0,0,0
238165980,1,0,0,0,0,0,0
238265979,1,0,0,0,0,0,0
238365979,1,0,0,0,0,0,0
238465980,1,0,0,0,0,0,0
238565964,1,0,0,0,0,0,0
238665947,1,0,0,0,0,0,0
238765963,1,0,0,0,0,0,0
238865975,1,0,0,0,0,0,0
238965969,1,0,0,0,0,0,0
239065975,1,0,0,0,0,0,0
239165991,1,0,0,0,0,0,0
239265977,1,0,0,0,0,0,0
239365984,1,0,0,0,0,0,0
239465986,1,0,0,0,0,0,0
239565972,1,0,0,0,0,0,0
239665963,1,0,0,0,0,0,0
239765975,1,0,0,0,0,0,0
239865974,1,0,0,0,0,0,0
239965973,1,0,0,0,0,0,0
240065975,1,0,0,0,0,0,0
240165980,1,0,0,0,0,0,0
240265978,1,0,0,0,0,0,0
240365973,1,0,0,0,0,0,0
240465974,1,0,0,0,0,0,0
240565969,1,0,0,0,0,0,0
240665943,1,0,0,0,0,0,0
240765971,1,0,0,0,0,0,0
240865968,1,0,0,0,0,0,0
240965962,1,0,0,0,0,0,0
241065958,1,0,0,0,0,0,0
241165968,1,0,0,0,0,0,0
241265971,1,0,0,0,0,0,0
241365964,1,0,0,0,0,0,0
241465956,1,0,0,0,0,0,0
241565963,1,0,0,0,0,0,0
241665953,1,0,0,0,0,0,0
241765955,1,0,0,0,0,0,0
241865945,1,0,0,0,0,0,0
241965922,1,0,0,0,0,0,0
242065949,1,0,0,0,0,0,0
242165961,1,0,0,0,0,0,0
242265958,1,0,0,0,0,0,0
242565936,1,0,0,0,0,0,0
242665948,1,0,0,0,0,0,0
242765929,1,0,0,0,0,0,0
242865908,1,0,0,0,0,0,0
242965934,1,0,0,0,0,0,0
243065918,1,0,0,0,0,0,0
243165922,1,0,0,0,0,0,0
243265930,1,0,0,0,0,0,0
243365930,1,0,0,0,0,0,0
243465917,1,0,0,0,0,0,0
243565919,1,0,0,0,0,0,0
243665911,1,0,0,0,0,0,0
243765904,1,0,0,0,0,0,0
243865900,1,0,0,0,0,0,0
243965900,1,0,0,0,0,0,0
244065896,1,0,0,0,0,0,0
244165897,1,0,0,0,0,0,0
244265899,1,0,0,0,0,0,0
244365897,1,0,0,0,0,0,0
244465882,1,0,0,0,0,0,0
244565886,1,0,0,0,0,0,0
244665883,1,0,0,0,0,0,0
244765878,1,0,0,0,0,0,0
244865865,1,0,0,0,0,0,0
244965864,1,0,0,0,0,0,0
245065852,1,0,0,0,0,0,0
245165863,1,0,0,0,0,0,0
245265867,1,0,0,0,0,0,0
245365851,1,0,0,0,0,0,0
245465844,1,0,0,0,0,0,0
245565846,1,0,0,0,0,0,0
245665836,1,0,0,0,0,0,0
245765838,1,0,0,0,0,0,0
245865829,1,0,0,0,0,0,0
245965857,1,0,0,0,0,0,0
246065815,1,0,0,0,0,0,0
246165821,1,0,0,0,0,0,0
246265815,1,0,0,0,0,0,0
246365813,1,0,0,0,0,0,0
246465802,1,0,0,0,0,0,0
246565796,1,0,0,0,0,0,0
246665775,1,0,0,0,0,0,0
246765786,1,0,0,0,0,0,0
246865775,1,0,0,0,0,0,0
246965780,1,0,0,0,0,0,0
247065758,1,0,0,0,0,0,0
247365758,1,0,0,0,0,0,0
247465789,1,0,0,0,0,0,0
247665741,1,0,0,0,0,0,0
247765735,1,0,0,0,0,0,0
247865753,1,0,0,0,0,0,0
247965752,1,0,0,0,0,0,0
248065752,1,0,0,0,0,0,0
248165751,1,0,0,0,0,0,0
248265767,1,0,0,0,0,0,0
248365738,1,0,0,0,0,0,0
248465739,1,0,0,0,0,0,0
248565733,1,0,0,0,0,0,0
248665714,1,0,0,0,0,0,0
248765701,1,0,0,0,0,0,0
248865666,1,0,0,0,0,0,0
248965663,1,0,0,0,0,0,0
249165659,1,0,0,0,0,0,0
249265654,1,0,0,0,0,0,0
249365647,1,0,0,0,0,0,0
249465643,1,0,0,0,0,0,0
249565617,1,0,0,0,0,0,0
249665619,1,0,0,0,0,0,0
249765612,1,0,0,0,0,0,0
249865578,1,0,0,0,0,0,0
249965596,1,0,0,0,0,0,0
250065588,1,0,0,0,0,0,0
250165579,1,0,0,0,0,0,0
250265618,1,0,0,0,0,0,0
250365578,1,0,0,0,0,0,0
250465572,1,0,0,0,0,0,0
250565554,1,0,0,0,0,0,0
250665548,1,0,0,0,0,0,0
250765535,1,0,0,0,0,0,0
250865534,1,0,0,0,0,0,0
250965512,1,0,0,0,0,0,0
251065511,1,0,0,0,0,0,0
251165502,1,0,0,0,0,0,0
251265508,1,0,0,0,0,0,0
251365796,1,0,0,0,0,0,0
251465518,1,0,0,0,0,0,0
251565489,1,0,0,0,0,0,0
251665474,1,0,0,0,0,0,0
251765468,1,0,0,0,0,0,0
251865490,1,0,0,0,0,0,0
251965454,1,0,0,0,0,0,0
252065427,1,0,0,0,0,0,0
252165428,1,0,0,0,0,0,0
252265435,1,0,0,0,0,0,0
252365430,1,0,0,0,0,0,0
252465416,1,0,0,0,0,0,0
252565407,1,0,0,0,0,0,0
252665398,1,0,0,0,0,0,0
252765379,1,0,0,0,0,0,0
252865383,1,0,0,0,0,0,0
252965364,1,0,0,0,0,0,0
253065358,1,0,0,0,0,0,0
253165340,1,0,0,0,0,0,0
253265352,1,0,0,0,0,0,0
253365339,1,0,0,0,0,0,0
253465338,1,0,0,0,0,0,0
253565317,1,0,0,0,0,0,0
253665312,1,0,0,0,0,0,0
253765304,1,0,0,0,0,0,0
253865292,1,0,0,0,0,0,0
253965285,1,0,0,0,0,0,0
254065266,1,0,0,0,0,0,0
254165254,1,0,0,0,0,0,0
254265264,1,0,0,0,0,0,0
254365241,1,0,0,0,0,0,0
254465240,1,0,0,0,0,0,0
254565258,1,0,0,0,0,0,0
254665229,1,0,0,0,0,0,0
254765213,1,0,0,0,0,0,0
254865200,1,0,0,0,0,0,0
254965186,1,0,0,0,0,0,0
255065184,1,0,0,0,0,0,0
255165160,1,0,0,0,0,0,0
255265174,1,0,0,0,0,0,0
255365197,1,0,0,0,0,0,0
255465162,1,0,0,0,0,0,0
255565139,1,0,0,0,0,0,0
255665122,1,0,0,0,0,0,0
255765119,1,0,0,0,0,0,0
255865104,1,0,0,0,0,0,0
255965101,1,0,0,0,0,0,0
256065078,1,0,0,0,0,0,0
256165069,1,0,0,0,0,0,0
256265083,1,0,0,0,0,0,0
256365065,1,0,0,0,0,0,0
256465044,1,0,0,0,0,0,0
256565035,1,0,0,0,0,0,0
256765019,1,0,0,0,0,0,0
257064982,1,0,0,0,0,0,0
257164971,1,0,0,0,0,0,0
257264976,1,0,0,0,0,0,0
257364955,1,0,0,0,0,0,0
257464940,1,0,0,0,0,0,0
257564941,1,0,0,0,0,0,0
257664924,1,0,0,0,0,0,0
257764917,1,0,0,0,0,0,0
257864908,1,0,0,0,0,0,0
257964895,1,0,0,0,0,0,0
258064872,1,0,0,0,0,0,0
258164834,1,0,0,0,0,0,0
258264880,1,0,0,0,0,0,0
258364865,1,0,0,0,0,0,0
258464850,1,0,0,0,0,0,0
258564883,1,0,0,0,0,0,0
258664822,1,0,0,0,0,0,0
258764812,1,0,0,0,0,0,0
258864803,1,0,0,0,0,0,0
258964785,1,0,0,0,0,0,0
259064747,1,0,0,0,0,0,0
259164762,1,0,0,0,0,0,0
259264761,1,0,0,0,0,0,0
259364755,1,0,0,0,0,0,0
259464744,1,0,0,0,0,0,0
259564737,1,0,0,0,0,0,0
